table_id,node,actual_disk_read_throughput,actual_disk_write_throughput,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:35:20 +0000 UTC,42.5 KiB/sec,34.3 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:35:20 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:39:00 +0000 UTC,30.2 KiB/sec,32.8 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:39:00 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:35:10 +0000 UTC,29.1 KiB/sec,35.6 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:35:10 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:35:50 +0000 UTC,71.8 KiB/sec,96.2 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:35:50 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:36:30 +0000 UTC,44.6 KiB/sec,74.3 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:36:30 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:36:00 +0000 UTC,64.6 KiB/sec,56.1 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:36:00 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:38:30 +0000 UTC,30.6 KiB/sec,71.7 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:38:30 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:37:20 +0000 UTC,38.5 KiB/sec,31.1 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:37:20 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:35:30 +0000 UTC,30.8 KiB/sec,73.0 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:35:30 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:34:50 +0000 UTC,26.8 KiB/sec,66.6 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:34:50 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:36:30 +0000 UTC,187 KiB/sec,99.2 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:36:30 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:39:20 +0000 UTC,3.2 KiB/sec,2.3 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:39:20 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:35:40 +0000 UTC,36.8 KiB/sec,44.4 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:35:40 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:38:10 +0000 UTC,204 KiB/sec,34.8 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:38:10 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:34:30 +0000 UTC,137 KiB/sec,98.8 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:34:30 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:36:20 +0000 UTC,163 KiB/sec,41.9 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:36:20 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:35:50 +0000 UTC,182 KiB/sec,61.0 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:35:50 +0000 UTC
